Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
120,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
180,T4,LeoDepot,s,0,-50.0,1.445950134335289,72.29750671676445
1380,T2,LeoDepot,s,0,-80.0,1.4637144130828532,117.09715304662825
1440,T3,LeoDepot,s,0,-90.0,1.5040166352805664,135.36149717525097
2940,T1,ISS,b,0,72.5,2.7401940887345693,198.66407143325628
3000,T4,LEO1,b,1,72.5,1.5,108.75
5940,T1,LeoDepot,s,0,-73.25898100726323,1.5239696450038311,111.64446327898135
7020,T4,LeoDepot,s,0,-72.88160271585909,1.5569729258206215,113.47468221900728
8760,T1,LEO1,b,0,72.5,1.563075,113.3229375
13560,T1,LeoDepot,s,0,-72.88160271585907,1.5554152428519907,113.36115578773025
13920,T3,MEO1a,b,0,72.5,2.73538125,198.315140625
16440,T2,GeoSSP,b,0,72.5,4.301994013888881,311.8945660069439
26040,T1,MEO1a,b,1,72.5,2.73538125,198.315140625
221820,T2,MEO1a,s,1,-99.24604968201167,2.077148658946637,206.14879900274187
251040,T2,GeoSSP,b,0,65.99999999996888,4.531824222222517,299.1003986665451
266520,T2,LeoDepot,s,0,-92.74604968198055,1.4175000000000002,131.46752542420745
437400,T4,DSG,b,0,72.5,5.279214816743828,382.7430742139275
696900,T2,DSG,b,0,40.63020833334386,5.368693335262448,218.13112868954798
1127460,T2,LeoDepot,s,0,-93.0417609076339,1.4175000000000002,131.88669608657108
1142520,T2,GeoSSP,b,0,72.5,4.051574013888996,293.7391160069522
