Time,Transporter,Origin,Destination,TOF
120,T1,LeoDepot,ISS,2759.539685182703
180,T4,LeoDepot,LEO1,2744.2231131416033
240,T5,LeoDepot,LEO1,2744.2231131416033
600,T2,LeoDepot,LEO2b,3460.871463508925
660,T6,LeoDepot,LEO2b,3460.871463508925
1380,T3,LeoDepot,GeoSSP,14980.97481323638
3000,T1,ISS,LeoDepot,2759.5396851827036
3060,T4,LEO1,LeoDepot,2744.2231131416033
3120,T5,LEO1,LeoDepot,2744.2231131416033
7020,T1,LeoDepot,DSG,430296.4025686069
7440,T4,LeoDepot,MEO1a,12369.014188687186
7500,T5,LeoDepot,MEO1a,12369.01418868719
12360,T2,LEO2b,LeoDepot,3460.871463508929
12360,T6,LEO2b,LeoDepot,3460.871463508929
20040,T3,GeoSSP,MEO1a,29154.528777451793
37980,T2,LeoDepot,MEO1a,12369.01418868718
43440,T6,LeoDepot,GeoSSP,14980.974813236378
50520,T2,MEO1a,LEO2b,13549.800529145356
58680,T6,GeoSSP,LEO1,15007.927088101704
66240,T2,LEO2b,ISS,3493.9897111629034
70140,T2,ISS,MEO1a,12419.60316494852
73920,T6,LEO1,DSG,430378.9217761807
258000,T2,MEO1a,GeoSSP,29154.528777451782
287280,T2,GeoSSP,LeoDepot,14980.974813236386
302940,T2,LeoDepot,LEO2b,3460.871463508927
306540,T2,LEO2b,LeoDepot,3460.871463508925
312540,T2,LeoDepot,MEO1a,12369.014188687186
504900,T6,DSG,LeoDepot,430296.40256860707
508260,T3,MEO1a,GeoSSP,29154.528777451767
537540,T3,GeoSSP,LeoDepot,14980.974813236395
553440,T3,LeoDepot,MEO1a,12369.014188687186
935400,T6,LeoDepot,MEO1a,12369.01418868719
954300,T6,MEO1a,LEO2b,13549.800529145365
969060,T6,LEO2b,DSG,434097.73986796156
